iter	RMSE
0	13.87948378
1	12.98414017
2	12.14225875
3	11.39822866
4	10.72769794
5	10.23287852
6	9.731772671
7	9.259274206
8	8.856507131
9	8.455918956
10	8.073510122
11	7.764103489
12	7.490091848
13	7.236237139
14	7.023588174
15	6.843530916
16	6.65433729
17	6.491938818
18	6.350675231
19	6.237610502
20	6.130592051
21	6.028546158
22	5.93370899
23	5.849556227
24	5.780293134
25	5.716577782
26	5.653799776
27	5.603066207
28	5.554572619
29	5.51672878
30	5.471979912
31	5.426820086
32	5.391794324
33	5.362643277
34	5.326567598
35	5.300313894
36	5.273011688
37	5.254057129
38	5.234737555
39	5.215405106
40	5.199241958
41	5.180450489
42	5.15853827
43	5.147137398
44	5.134191883
45	5.113399204
46	5.088128725
47	5.071601859
48	5.0575442
49	5.043864177
50	5.029959819
51	5.012515473
52	4.998020162
53	4.984231936
54	4.967512377
55	4.959304775
56	4.939718582
57	4.93306361
58	4.921534702
59	4.909937929
60	4.904552717
61	4.898493051
62	4.885475286
63	4.877755298
64	4.873206603
65	4.865006069
66	4.857337892
67	4.846517306
68	4.840154709
69	4.832681539
70	4.819498427
71	4.815146914
72	4.804348127
73	4.790507466
74	4.780047337
75	4.766694048
76	4.761306218
77	4.756002759
78	4.749061158
79	4.74464844
80	4.736916097
81	4.733312487
82	4.726571735
83	4.714345549
84	4.709715479
85	4.696738656
86	4.691970722
87	4.683071054
88	4.669881287
89	4.661558321
90	4.644762473
91	4.643763474
92	4.642360485
93	4.640079708
94	4.632918673
95	4.620425105
96	4.61564636
97	4.609958854
98	4.600827693
99	4.598115625
