iter	Passed	Remaining
0	0	135
1	1	117
2	1	103
3	1	96
4	2	96
5	3	100
6	3	103
7	4	100
8	4	97
9	5	95
10	5	96
11	6	95
12	6	94
13	7	94
14	7	94
15	8	93
16	8	92
17	9	95
18	9	94
19	10	94
20	11	94
21	11	95
22	12	95
23	13	95
24	13	94
25	14	94
26	14	93
27	15	92
28	15	92
29	16	91
30	16	90
31	17	89
32	17	88
33	18	88
34	18	87
35	19	87
36	19	86
37	20	86
38	20	85
39	21	84
40	21	84
41	22	84
42	22	83
43	23	84
44	24	84
45	25	83
46	25	83
47	26	83
48	26	82
49	27	82
50	28	82
51	28	81
52	29	81
53	29	80
54	30	80
55	31	79
56	31	79
57	32	79
58	32	78
59	33	78
60	33	77
61	34	76
62	35	76
63	35	75
64	36	75
65	36	74
66	38	76
67	38	75
68	39	75
69	40	75
70	41	74
71	41	73
72	42	73
73	42	72
74	43	72
75	43	71
76	44	70
77	45	70
78	45	69
79	46	69
80	46	68
81	47	67
82	47	67
83	48	66
84	48	65
85	49	65
86	49	64
87	50	63
88	51	64
89	52	64
90	53	64
91	54	63
92	54	63
93	55	62
94	55	61
95	56	61
96	56	60
97	57	59
98	58	59
99	58	58
100	59	58
101	59	57
102	60	56
103	60	56
104	61	55
105	62	55
106	62	54
107	63	53
108	64	53
109	65	53
110	65	52
111	66	52
112	66	51
113	67	50
114	67	50
115	68	49
116	68	48
117	69	48
118	69	47
119	70	46
120	71	46
121	71	45
122	72	45
123	72	44
124	73	44
125	73	43
126	74	42
127	74	42
128	75	41
129	75	40
130	76	40
131	76	39
132	77	39
133	78	38
134	78	38
135	79	37
136	80	36
137	80	36
138	81	35
139	81	34
140	82	34
141	82	33
142	83	33
143	83	32
144	84	31
145	84	31
146	85	30
147	85	30
148	86	29
149	86	28
150	87	28
151	87	27
152	88	27
153	89	26
154	89	25
155	89	25
156	90	24
157	91	24
158	91	23
159	91	22
160	92	22
161	92	21
162	93	21
163	93	20
164	94	19
165	94	19
166	95	18
167	95	18
168	95	17
169	96	16
170	96	16
171	97	15
172	97	15
173	97	14
174	98	14
175	98	13
176	99	12
177	99	12
178	100	11
179	100	11
180	100	10
181	101	10
182	101	9
183	102	8
184	102	8
185	102	7
186	103	7
187	103	6
188	104	6
189	104	5
190	105	4
191	105	4
192	105	3
193	106	3
194	106	2
195	107	2
196	107	1
197	107	1
198	108	0
199	108	0
